baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
baseline_dram_apr
Layer, Active time, Stalled time, Total time, Compute active energy, Register file energy, Idle Energy, Total Cache Energy, Total Mem Energy, Mem Reads, Mem Writes, Total Energy
conv1, 5.7624e-05,3.5171e-05,9.2795e-05,0.0002242265088,0.00086858268672,0.00029418835968,1.51053542663467e-05,0.000497948516,74891,0,0.00190005142546635
conv2_1_a, 6.272e-06,1.0666e-05,1.6938e-05,2.44056064e-05,9.453961216e-05,5.3698609152e-05,5.02515968568333e-06,0.000124657821,29183,0,0.000302326808397683
conv2_1_b, 5.733e-05,4.0621e-05,9.7951e-05,0.000223082496,0.0008641511424,0.000310534447104,1.17533721885303e-05,0.000508878161,84263,0,0.00191839961869253
conv2_1_c, 2.5088e-05,2.8877e-05,5.3965e-05,9.76224256e-05,0.00037815844864,0.00017108545536,1.55581056170562e-05,0.00041342779,79103,0,0.00107585222521706
conv2_2_a, 6.272e-06,1.0666e-05,1.6938e-05,2.44056064e-05,9.453961216e-05,5.3698609152e-05,5.02515968568333e-06,0.000124657821,29183,0,0.000302326808397683
conv2_2_b, 5.733e-05,4.0621e-05,9.7951e-05,0.000223082496,0.0008641511424,0.000310534447104,1.17533721885303e-05,0.000508875546,84263,0,0.00191839700369253
conv2_2_c, 2.5088e-05,2.8877e-05,5.3965e-05,9.76224256e-05,0.00037815844864,0.00017108545536,1.55581056170562e-05,0.00041342779,79103,0,0.00107585222521706
conv2_3_a, 6.272e-06,1.0666e-05,1.6938e-05,2.44056064e-05,9.453961216e-05,5.3698609152e-05,5.02515968568333e-06,0.000124657821,29183,0,0.000302326808397683
conv2_3_b, 5.733e-05,4.0621e-05,9.7951e-05,0.000223082496,0.0008641511424,0.000310534447104,1.17533721885303e-05,0.000508878396,84263,0,0.00191839985369253
conv2_3_c, 2.5088e-05,2.8877e-05,5.3965e-05,9.76224256e-05,0.00037815844864,0.00017108545536,1.55581056170562e-05,0.00041342779,79103,0,0.00107585222521706
conv3_1_a, 1.2544e-05,3.0962e-05,4.3506e-05,4.88112128e-05,0.00018907922432,0.000137927245824,1.32105241753321e-05,0.000346980978,87439,0,0.000736009185119332
conv3_1_b, 5.733e-05,6.989e-05,0.00012722,0.000223082496,0.0008641511424,0.00040332607488,2.25749632405826e-05,0.00084850221,176191,0,0.00236163688652058
conv3_1_c, 2.5088e-05,3.4384e-05,5.9472e-05,9.76224256e-05,0.00037815844864,0.000188544319488,1.46799232193238e-05,0.000434601864,96895,0,0.00111360698094732
conv3_2_a, 2.5088e-05,3.4306e-05,5.9394e-05,9.76224256e-05,0.00037815844864,0.000188297035776,1.24163097792917e-05,0.000434617354,96895,0,0.00111111157379529
conv3_2_b, 5.733e-05,6.989e-05,0.00012722,0.000223082496,0.0008641511424,0.00040332607488,2.25749632405826e-05,0.000848502328,176191,0,0.00236163700452058
conv3_2_c, 2.5088e-05,3.4384e-05,5.9472e-05,9.76224256e-05,0.00037815844864,0.000188544319488,1.46799232193238e-05,0.000434601864,96895,0,0.00111360698094732
conv3_3_a, 2.5088e-05,3.4306e-05,5.9394e-05,9.76224256e-05,0.00037815844864,0.000188297035776,1.24163097792917e-05,0.000434617354,96895,0,0.00111111157379529
conv3_3_b, 5.733e-05,6.989e-05,0.00012722,0.000223082496,0.0008641511424,0.00040332607488,2.25749632405826e-05,0.000848495034,176191,0,0.00236162971052058
conv3_3_c, 2.5088e-05,3.4384e-05,5.9472e-05,9.76224256e-05,0.00037815844864,0.000188544319488,1.46799232193238e-05,0.000434601864,96895,0,0.00111360698094732
conv3_4_a, 2.5088e-05,3.4306e-05,5.9394e-05,9.76224256e-05,0.00037815844864,0.000188297035776,1.24163097792917e-05,0.000434617354,96895,0,0.00111111157379529
conv3_4_b, 5.733e-05,6.989e-05,0.00012722,0.000223082496,0.0008641511424,0.00040332607488,2.25749632405826e-05,0.00084849527,176191,0,0.00236162994652058
conv3_4_c, 2.5088e-05,3.4384e-05,5.9472e-05,9.76224256e-05,0.00037815844864,0.000188544319488,1.46799232193238e-05,0.000434601864,96895,0,0.00111360698094732
conv4_1_a, 1.6384e-05,5.3037e-05,6.9421e-05,6.37534208e-05,0.00024696061952,0.000220085673984,2.04985369852126e-05,0.000596237145,157503,0,0.00114753539628921
conv4_1_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.002327982512,613695,0,0.00473173583101458
conv4_1_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv4_2_a, 3.2768e-05,9.3667e-05,0.000126435,0.0001275068416,0.00049392123904,0.00040083738624,3.37961190853164e-05,0.001059116072,277823,0,0.00211517765796532
conv4_2_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.002327982512,613695,0,0.00473173583101458
conv4_2_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv4_3_a, 3.2768e-05,9.3667e-05,0.000126435,0.0001275068416,0.00049392123904,0.00040083738624,3.37961190853164e-05,0.001059116072,277823,0,0.00211517765796532
conv4_3_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.00232798257,613695,0,0.00473173588901458
conv4_3_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv4_4_a, 3.2768e-05,9.3667e-05,0.000126435,0.0001275068416,0.00049392123904,0.00040083738624,3.37961190853164e-05,0.001059116072,277823,0,0.00211517765796532
conv4_4_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.00232798257,613695,0,0.00473173588901458
conv4_4_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv4_5_a, 3.2768e-05,9.3667e-05,0.000126435,0.0001275068416,0.00049392123904,0.00040083738624,3.37961190853164e-05,0.001059116072,277823,0,0.00211517765796532
conv4_5_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.002327979485,613695,0,0.00473173280401458
conv4_5_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv4_6_a, 3.2768e-05,9.3667e-05,0.000126435,0.0001275068416,0.00049392123904,0.00040083738624,3.37961190853164e-05,0.001059116072,277823,0,0.00211517765796532
conv4_6_b, 7.488e-05,0.000211688,0.000286568,0.000291373056,0.0011286872064,0.000908507676672,7.5185379942585e-05,0.00232798257,613695,0,0.00473173588901458
conv4_6_c, 3.2768e-05,9.3894e-05,0.000126662,0.0001275068416,0.00049392123904,0.000401557045248,3.49210445254098e-05,0.001059211096,277823,0,0.00211711726641341
conv5_1_a, 1.6384e-05,0.000186137,0.000202521,6.37534208e-05,0.00024696061952,0.000642053136384,6.723733768002e-05,0.001923274701,542239,0,0.00294327921538402
conv5_1_b, 7.416e-05,0.000790552,0.000864712,0.000288571392,0.0011178344448,0.002741399912448,0.000288789732180799,0.00810967881,2376351,1176,0.0125462742914288
conv5_1_c, 3.2768e-05,0.001325762,0.00135853,0.0001275068416,0.00049392123904,0.00430695309312,0.000506395221032664,0.014401757692,4202251,6272,0.0198365340867927
conv5_2_a, 3.2768e-05,0.00034099,0.000373758,0.0001275068416,0.00049392123904,0.001184926482432,0.000127282895507158,0.004621506501,1056415,1568,0.00655514395957916
conv5_2_b, 7.416e-05,0.000790552,0.000864712,0.000288571392,0.0011178344448,0.002741399912448,0.000288789732180799,0.00810967881,2376351,1176,0.0125462742914288
conv5_2_c, 3.2768e-05,0.001325762,0.00135853,0.0001275068416,0.00049392123904,0.00430695309312,0.000506395221032664,0.014401757692,4202251,6272,0.0198365340867927
conv5_3_a, 3.2768e-05,0.00034099,0.000373758,0.0001275068416,0.00049392123904,0.001184926482432,0.000127282895507158,0.004621506501,1056415,1568,0.00655514395957916
conv5_3_b, 7.416e-05,0.000790552,0.000864712,0.000288571392,0.0011178344448,0.002741399912448,0.000288789732180799,0.008109678806,2376351,1176,0.0125462742874288
conv5_3_c, 3.2768e-05,0.001325762,0.00135853,0.0001275068416,0.00049392123904,0.00430695309312,0.000506395221032664,0.014401757692,4202251,6272,0.0198365340867927
Total,0.00196999,0.010398562,0.012368552,0.007665625088,0.0296942108672,0.039212069879808,0.00386906993364748,0.115337646295,31409607,25480,0.195778622063655
Percentage & Benefits 
System, Active time, Stalled time, Total time, Compute active energy (compute + reg file), Idle energy, Mem energy (Cache + Mem), Total energy, Exec. time benefits, Energy benefits, EDP
baseline_dram_apr, 15.9274100961859,84.0725899038141,100,19.0826943010421,20.0287801939165,60.8885255050414,100,1,1,1,0.195778622063655
